scene_id,split,oracle_exterior_P80_mm,ground_truth_P80_mm,oracle_signed_error_pct_vs_full,oracle_abs_error_pct_vs_full,n_visible_fragments,n_exterior_points
57,train,300.3539676127929,254.91304374601427,17.826048914175725,17.826048914175725,140,6741
58,train,311.6734639743081,267.6790276504169,16.43551857986685,16.43551857986685,139,6705
59,train,313.1766368788747,264.4950818009677,18.405467030400157,18.405467030400157,142,6819
60,val,269.56528251238063,252.24792504487806,6.865213049590636,6.865213049590636,143,6670
61,val,339.30543850281697,281.225982234479,20.652236968600164,20.652236968600164,140,6806
62,val,285.1903418633529,243.33345825985043,17.201450183971176,17.201450183971176,141,7025
63,val,310.9180167366519,239.1631828884201,30.0024581466239,30.0024581466239,142,7547
64,val,314.96511598064683,251.88583021968705,25.042808365180356,25.042808365180356,141,6573
65,val,332.7487916334589,284.7097699061203,16.872979716565013,16.872979716565013,142,7106
66,val,366.5047155559138,295.1710178209239,24.16690441412748,24.16690441412748,144,6550
67,val,386.52156890204515,319.06620559023565,21.141494188337763,21.141494188337763,141,7830
68,val,334.44318545356253,283.47192523118247,17.981061151227234,17.981061151227234,144,7284
69,val,336.2926070915171,299.33440446595165,12.346794111924183,12.346794111924183,145,7157
70,val,318.37831683941664,254.44506802961232,25.126542756318536,25.126542756318536,136,6706
71,val,319.2142749851746,260.961723570075,22.322258842476298,22.322258842476298,138,6899
72,val,325.24939913202263,239.72468088843536,35.676225713025076,35.676225713025076,146,6543
73,val,289.0253859484721,258.3491590668356,11.87394106194882,11.87394106194882,143,6098
74,val,356.10078434287465,253.66673606609953,40.38134832549871,40.38134832549871,145,7355
75,val,294.73357394964086,249.05061658726143,18.34284049900081,18.34284049900081,139,7169
76,val,296.8486136133534,236.45882337843233,25.539241620208998,25.539241620208998,141,6889
77,val,275.7206059258935,243.690190851035,13.143908239802036,13.143908239802036,142,6612
78,val,311.9598431704863,237.2070331869645,31.513740962563396,31.513740962563396,137,7309
79,val,285.0792229069396,243.48585007734178,17.0824599525541,17.0824599525541,144,7548
80,test,257.2196126377415,222.16523505280455,15.778516191610786,15.778516191610786,143,6925
81,test,272.0694741053083,238.102853270407,14.265524485893636,14.265524485893636,145,6877
82,test,310.38461474925066,262.41799079315945,18.278710164311484,18.278710164311484,143,6876
83,test,325.0151618223073,250.18899559970293,29.90785667580864,29.90785667580864,140,6908
84,test,332.51402235961774,267.0657514122928,24.506426077182287,24.506426077182287,144,6436
85,test,319.7726514598559,245.43796744193605,30.286546451092754,30.286546451092754,137,7192
86,test,316.4441027366275,238.84450245983015,32.48959028891542,32.48959028891542,140,7405
87,test,307.12216928037367,245.55984248330512,25.070193144978088,25.070193144978088,148,7025
88,test,372.77679457033236,281.4038842425081,32.47037992165059,32.47037992165059,142,6712
89,test,287.43432305306715,233.94467922642067,22.86422756162671,22.86422756162671,147,6861
90,test,348.9511716399523,284.262122800442,22.75683028122722,22.75683028122722,138,7103
91,test,280.6856989068371,251.08471494358878,11.78924171863619,11.78924171863619,147,6269
92,test,343.44151321322846,285.2493369156011,20.40045979663229,20.40045979663229,144,7868
93,test,299.1781189521124,257.9557255489811,15.980414203019478,15.980414203019478,142,7305
94,test,304.3527162230978,247.92896915061266,22.758029150764006,22.758029150764006,136,6594
95,test,294.4965911571219,253.78083523947848,16.043668498144186,16.043668498144186,142,7243
96,test,340.83265800580335,257.1289047696347,32.55322590478889,32.55322590478889,145,6344
97,test,314.09621610875524,245.06586955177835,28.16807851833155,28.16807851833155,146,6867
98,test,338.94761701181665,282.43110353173705,20.01072572154886,20.01072572154886,141,6315
99,test,307.7044376557971,251.42782585174044,22.382809704301117,22.382809704301117,141,7350
